Symbol,Name,Industry,Rank,Mom,Pe,Pb,Div,Ps
ACIW,ACI Worldwide Inc,Information Technology,16.8,28.7,71,3.50906,,2.59379
ACLS,Axcelis Technologies Inc.,Information Technology,28.7,98.7,25.9,3.95381,,2.68761
ACM,AECOM,Industrials,92,63.3,17.6,1.47827,,0.32146
ACN,Accenture PLC,Information Technology,30.7,67.4,27,10.18039,1.79718,2.49034
ACTG,Acacia Research Corp,Industrials,98.6,92.6,1.7,0.52676,,2.53026
ADBE,Adobe Systems Inc,Information Technology,3.9,76.8,56.6,10.94701,,12.98319
ADI,Analog Devices Inc.,Information Technology,10.1,35.1,41.2,3.12386,2.09035,5.95361
ADM,Archer-Daniels-Midland Co,Consumer Staples,91.9,20.8,19,1.26881,3.20963,0.36847
ADNT,Adient Plc,Consumer Discretionary,88.2,60.3,8.3,1.69442,1.40557,0.44996
ADP,Automatic Data Processing Inc.,Information Technology,16.1,51,29,12.85482,2.20164,4.07446
ADS,Alliance Data Systems Corp,Information Technology,37,46.3,24.9,8.30298,0.86931,1.74411
ADTN,ADTRAN Inc,Information Technology,34.2,40.7,25.7,2.19941,1.55844,1.58159
AEE,Ameren Corp,Utilities,49.2,47.9,25.2,2.11255,2.86116,2.53086
AEG,Aegon NV,Financials,99,54,8.2,0.56875,4.8285,0.28011
AEIS,Advanced Energy Industries Inc.,Information Technology,22.9,33,14.1,5.41701,,4.75337
AEL,American Equity Investment Life Holding Co,Financials,98.1,70.3,10.8,1.02143,0.81941,0.85323
AEM,Agnico Eagle Mines Ltd,Materials,11.9,6.4,37.1,2.0584,1.00663,4.60924
AEO,American Eagle Outfitters Inc.,Consumer Discretionary,95,95.4,16.1,2.531,3.10945,0.79168
AEP,American Electric Power Co Inc,Utilities,43,44.2,20.1,2.11309,3.19464,2.47826
AER,AerCap Holdings NV,Industrials,75.9,36.7,7.7,0.96087,,1.82567
AET,Aetna Inc.,Health Care,41.1,70.1,33.8,3.77056,1.11,0.98408
AFG,American Financial Group Inc,Financials,90.2,43.3,13.5,1.72059,1.33257,1.36834
AFL,AFLAC Inc,Financials,96.2,46.3,12.6,1.5707,2.05386,1.57301
AG,First Majestic Silver Corp,Materials,12.1,16.7,225.7,1.73774,,4.2798
AGCO,AGCO Corp,Industrials,51.3,37.1,28.5,1.85935,0.79118,0.71469
AGI,Alamos Gold Inc,Materials,10.3,2.2,317.8,0.92682,0.31596,3.59497
AGNC,AGNC Investment Corp,Financials,72.7,13.8,4.9,0.93739,10.85427,5.5541
AGO,Assured Guaranty Ltd,Financials,91,6.5,5.2,0.62261,1.56982,2.40797
AGR,Avangrid Inc,Utilities,61.6,54.2,24.6,1.07873,3.25608,2.76973
AGRO,Adecoagro SA,Consumer Staples,59.3,30,65.4,1.72687,,1.19573
AGU,Agrium Inc.,Materials,64.6,63.8,28.3,2.4302,3.18355,1.11625
AINV,Apollo Investment Corp,Financials,85.9,32.8,16.2,0.89393,9.98336,4.9315
AIV,Apartment Investment and Management Co,Real Estate,16,22.1,33.4,5.20856,3.26605,6.86733
AIZ,Assurant Inc.,Financials,94.3,47.5,23.4,1.3113,2.22068,0.86229
AJG,Arthur J. Gallagher & Co.,Financials,52.3,69,26.5,2.89586,2.36974,1.98966
AJRD,Aerojet Rocketdyne Holdings Inc,Industrials,16.6,47,37.8,15.31833,,1.21276
AKAM,Akamai Technologies Inc,Information Technology,35,79.6,33.4,2.89287,,3.90807
AKG,Asanko Gold Inc,Materials,66.9,0,63.8,0.28678,,0.49812
AKR,Acadia Realty Trust,Real Estate,59.6,22.6,38.6,1.50016,3.85301,7.20531
AKRX,Akorn Inc,Health Care,11,24.8,55.6,4.58767,,4.32416
AL,Air Lease Corp,Industrials,71.8,47.7,12.5,1.22287,0.92379,3.13131
ALB,Albemarle Corp,Materials,11.1,73.8,47.2,3.80671,0.95295,5.12393
ALEX,Alexander & Baldwin Inc,Real Estate,16.4,0.7,50.1,1.17241,0.96352,3.44798
ALGN,Align Technology Inc,Health Care,3.7,98,76.6,17.69633,,15.5232
ALK,Alaska Air Group Inc.,Industrials,79,14.2,10.8,2.44477,1.73486,1.13968
ALL,Allstate Corp (The),Financials,97.5,68.1,14.2,1.67085,1.44165,0.99739
ALLE,Allegion Plc,Industrials,12.6,48.8,23.9,21.7742,0.76064,3.39929
ALLY,Ally Financial Inc,Financials,86.2,80.5,12.7,0.87824,1.78704,1.24472
ALRM,Alarm.com Holdings Inc,Information Technology,0.5,12.2,60.3,8.40253,,5.9652
ALSN,Allison Transmission Holdings Inc,Industrials,57.6,79.3,18,10.55467,1.46199,2.91034
ALV,Autoliv Inc,Consumer Discretionary,69.4,78.4,22.2,2.80813,1.87617,1.09217
ALXN,Alexion Pharmaceuticals Inc,Health Care,3.4,2.6,48.8,2.73788,,7.07714
AM,Antero Midstream Partners LP,Energy,15.6,4,19.8,3.35083,4.93648,7.00802
AMAT,Applied Materials Inc.,Information Technology,47.5,76.7,16.3,6.01974,0.75801,3.8909
AMBA,Ambarella Inc,Information Technology,2.4,27,60.6,3.8435,,5.79228
AMCX,AMC Networks Inc,Consumer Discretionary,54.2,6.2,10.2,59.44546,,1.20668
AME,AMETEK Inc,Industrials,21,72.2,30.2,4.46075,0.49525,4.05423
AMED,Amedisys Inc,Health Care,22.1,36.9,42.3,3.57508,,1.21461
AMGN,Amgen Inc,Health Care,53.4,24.5,16,3.96024,2.6187,5.59453
AMH,American Homes 4 Rent,Real Estate,42.2,21.4,2150.5,1.15433,0.9311,5.88405
AMKR,Amkor Technology Inc,Information Technology,90.6,82.9,9.5,1.61946,,0.62196
AMN,AMN Healthcare Services Inc.,Health Care,63.5,95.3,20.6,4.50612,,1.21985
AMP,Ameriprise Financial Inc,Financials,79.5,78.7,15.1,3.84032,2.03394,2.06678
AMT,American Tower Corp,Real Estate,3.2,21.9,54.3,9.47837,1.83423,9.47744
AMTD,TD AMERITRADE Holding Corp,Financials,23.6,79.2,31.2,4.0035,1.64159,7.48549
AMX,"America Movil SA De CV, Mexico",Telecommunication Services,35.9,12.5,22,4.08822,1.91086,1.0702
AMZN,Amazon.com Inc,Consumer Discretionary,4.5,82.3,296,23.00241,,3.49949
AN,AutoNation Inc,Consumer Discretionary,84.1,86,13.8,2.29592,,0.25543
ANDV,Andeavor,Energy,73.1,43.8,19.3,1.80701,2.2376,0.47674
ANDX,Andeavor Logistics LP,Energy,63.3,10.6,19.5,2.76267,8.80429,2.99424
ANET,Arista Networks Inc,Information Technology,5.7,94.4,47.4,11.17271,,11.15202
ANH,Anworth Mortgage Asset Corp,Financials,71.8,14.3,12,0.92514,10.67616,4.42444
ANSS,ANSYS Inc,Information Technology,6.5,72.8,45.9,5.49635,,11.86741
ANTM,Anthem Inc,Health Care,90.7,82.1,20.8,2.33078,1.19169,0.69198
ANW,Aegean Marine Petroleum Network Inc,Energy,80.1,3,10.6,0.27137,2,0.02909
AOBC,American Outdoor Brands Corporation,Consumer Discretionary,66.2,6.8,8.7,1.93941,,0.93709
AON,Aon PLC,Financials,7.7,29.6,42.4,6.79559,1.02696,3.47217
AOS,A. O. Smith Corp,Industrials,12.8,69.5,30.8,6.54529,0.883,3.74375
APA,Apache Corp,Energy,29.1,51.7,25.4,2.27281,2.39063,2.82507
APAM,Artisan Partners Asset Management Inc,Financials,82.8,92,20.6,12.66666,6.07595,2.46169
APD,Air Products and Chemicals Inc.,Materials,24.7,64.1,31.4,3.52949,2.33072,4.33914
APH,Amphenol Corp,Information Technology,12.1,63.2,28.4,6.79336,0.83894,4.12566
APLE,Apple Hospitality REIT Inc,Real Estate,94,49.6,18.9,1.24009,6.16016,3.52646
APO,Apollo Global Management LLC,Financials,85.6,45.7,10.1,5.68943,5.90866,2.45018
ARCC,Ares Capital Corp,Financials,55.4,30.3,12.8,0.98317,9.37115,5.80005
ARCH,Arch Coal Inc,Energy,91.4,36.8,1.1,2.71554,1.69574,0.85073
ARCI,Appliance Recycling Centers of America,Consumer Discretionary,66.7,0.6,1.1,0.39336,,0.05675
ARCO,Arcos Dorados Holdings Inc,Consumer Discretionary,59.4,74.1,26.3,4.83533,,0.64969
ARE,Alexandria Real Estate Equities Inc.,Real Estate,35.9,41.6,144.4,2.24749,2.70738,10.57202
ARI,Apollo Commercial Real Estate Finance Inc,Financials,75.2,35.9,10.1,0.93765,9.86595,5.82335
ARMK,Aramark,Consumer Discretionary,44.7,41.4,28.9,4.2447,0.98592,0.7148
ARR,Armour Residential REIT Inc,Financials,68.3,19.4,5.1,0.80092,9.01542,4.11291
ARRS,ARRIS International plc,Information Technology,69.7,51.2,33.3,1.75621,,0.85201
ARW,Arrow Electronics Inc,Information Technology,68.4,32.1,13.9,1.45542,,0.27888
ASB,Associated Banc-Corp,Financials,81.4,75.7,17.5,1.27613,2.19608,3.25635
ASML,ASML Holding NV,Information Technology,21.7,64.4,37.2,6.59171,0.74476,8.95653
ASX,Advanced Semiconductor Engineering Incorporated AS,Information Technology,83.5,48.2,15.3,1.638,3.50598,1.11519
ATGE,Adtalem Global Education Inc,Consumer Discretionary,79.5,84.3,23.6,1.52981,,1.44859
ATH,Athene Holding Ltd,Financials,86.9,10.5,7.1,1.10877,,1.61786
ATHM,Autohome Inc,Information Technology,1.5,7.1,27.5,5.45651,,6.94281
ATHN,athenahealth Inc,Health Care,1.1,16.5,172.6,7.13408,,4.48488
ATKR,Atkore International Group Inc,Industrials,84.1,91.6,17.7,3.95486,,0.87948
ATO,Atmos Energy Corp,Utilities,29.4,42,25.5,2.51174,2.10207,3.5327
ATVI,Activision Blizzard Inc,Information Technology,4.4,18.3,42.6,4.73342,0.48077,6.71933
AUO,Au Optronics Corp,Information Technology,99.9,40.1,3.3,0.6042,4.37336,0.36411
AVA,Avista Corp,Utilities,41.2,30.4,26,2.00303,2.75318,2.30474
AVAV,AeroVironment Inc,Industrials,16.1,14.7,53,2.85412,,3.94443
AVB,AvalonBay Communities Inc.,Real Estate,47.3,20.9,28.4,2.42305,3.13241,11.36664
AVGO,Broadcom Ltd,Information Technology,6.9,58.8,198.4,5.7204,1.46794,6.61737
AVT,Avnet Inc,Information Technology,76.8,50.5,20.7,0.95733,1.73871,0.28697
AVY,Avery Dennison Corp,Materials,42.5,84.3,25.1,8.857,1.57729,1.56863
AWI,Armstrong World Industries Inc,Industrials,29.8,90.4,22.5,8.64266,,2.4912
AWK,American Water Works Company Inc,Utilities,22.2,67.3,30.8,3.02719,1.81302,4.99776
AXAS,Abraxas Petroleum Corp.,Energy,43.8,85.3,27,3.13094,,4.13486
AXL,American Axle & Manufacturing Holdings Inc,Consumer Discretionary,97.3,87.4,6.2,1.39436,,0.30798
AXP,American Express Co,Financials,70.6,68.3,18.8,4.0363,1.43281,2.50989
AXTA,Axalta Coating Systems Ltd,Materials,15.3,50.2,124,5.89073,,1.80871
AXTI,AXT Inc,Information Technology,18,88.2,40.1,2.17112,,3.88561
AY,Atlantica Yield plc,Utilities,54.8,52.6,82.3,1.17959,5.16244,2.12761
AYI,Acuity Brands Inc.,Industrials,23.3,21.5,22.5,4.30938,0.30335,2.09531
AZN,Astrazeneca PLC,Health Care,40.9,58.6,23.5,6.06389,4.2592,3.40344
AZUL,Azul SA,Industrials,30,28.9,32.1,3.50427,,1.12522
BA,Boeing Co,Industrials,40.1,73.7,25.2,152.253,2.05202,1.82909
BABA,Alibaba Group Holding Ltd,Information Technology,0.9,36.1,50.9,9.23051,,15.41179
BAC,Bank of America Corp,Financials,78.9,78.8,16,1.17771,1.70394,2.90071
BAH,Booz Allen Hamilton Holding Corp,Information Technology,54.7,68,21.3,10.50363,1.75756,0.95259
BAM,Brookfield Asset Management Inc,Financials,31.1,42.2,91.5,1.73366,1.3494,1.13729
BANC,Banc of California Inc,Financials,86.9,84.8,21.2,1.52971,2.30599,2.19835
BAS,Basic Energy Services Inc,Energy,65.9,98.9,62.2,1.64211,,0.74197
BAX,Baxter International Inc,Health Care,30.8,45,35.2,3.77026,0.97665,3.41018
BB,BlackBerry Ltd,Information Technology,86.4,75,11.4,2.07051,,5.45269
BBBY,Bed Bath & Beyond Inc.,Consumer Discretionary,97.9,3.7,5.8,1.17838,2.67977,0.26891
BBL,BHP Billiton PLC,Materials,76.9,18.5,16.6,1.69077,4.5642,
BBT,BB&T Corp,Financials,51.2,49.9,18.4,1.45713,2.67098,3.3297
BBVA,Banco Bilbao Vizcaya Argentaria SA (BBVA),Financials,50.9,21.2,12.3,1.00422,3.89553,
BBX,BBX Capital Corporation,Consumer Discretionary,82.4,65.4,19.8,1.61186,0.3663,0.97886
BBY,Best Buy Co Inc,Consumer Discretionary,91.1,57.2,15.2,4.30708,2.2815,0.45041
BC,Brunswick Corp,Consumer Discretionary,62.4,44.3,17.8,3.09119,1.37308,1.03748
BCC,Boise Cascade Co,Materials,81.6,92,21.9,2.28635,0.72727,0.34795
BCE,BCE Inc.,Telecommunication Services,70,28.6,15,3.51461,4.66609,2.49456
BCO,Brink's Co (The),Industrials,10.7,35.7,49.1,8.9069,0.74212,1.25297
BCOR,Blucora Inc,Information Technology,19,10.8,1012.5,1.7919,,1.80596
BCR,Bard (C.R.) Inc,Health Care,2.6,41.5,44.4,12.13506,0.30958,6.30375
BCS,Barclays PLC,Financials,58.9,42.1,16.8,0.50897,1.47931,
BDN,Brandywine Realty Trust,Real Estate,35.1,28.1,107.2,1.73399,3.71445,5.86054
BDSI,BioDelivery Sciences International Inc,Health Care,8.8,4.4,270,5.3854,,3.05404
BDX,"Becton, Dickinson and Co",Health Care,15.2,70.6,49.2,4.01812,1.31458,4.1594
BEAT,BioTelemetry Inc,Health Care,6,2.8,21.3,3.57613,,3.43716
BECN,Beacon Roofing Supply Inc,Industrials,63,95.9,38.7,2.43477,,0.90903
BEN,Franklin Resources Inc,Financials,62.8,28,14.4,1.90597,1.84544,3.79876
BERY,Berry Global Group Inc,Materials,51,46.9,23.2,7.67883,,1.07957
BETR,Amplify Snack Brands Inc,Consumer Staples,9.1,3.4,40.2,4.88985,,1.16281
BF/B,Brown-Forman Corp,Consumer Staples,6.7,65.9,33.6,16.18268,1.32107,7.51918
BFR,BBVA Banco Frances SA,Financials,45.5,86.7,20.7,2.68185,1.19167,
BG,Bunge Ltd,Consumer Staples,73.1,10.2,20.8,1.37225,2.74996,0.20409
BGCP,BGC Partners Inc,Financials,74.8,89.9,24.9,6.85065,4.40906,1.48064
BGFV,Big 5 Sporting Goods Corp,Consumer Discretionary,93.9,24.3,7.3,0.79676,7.94702,0.16039
BGS,B&G Foods Inc.,Consumer Staples,61.4,91,25.7,3.25174,4.8062,1.59967
BHP,BHP Billiton Ltd,Materials,69.3,18.9,18.9,1.93158,3.99519,
BID,Sotheby's,Consumer Discretionary,28.8,72,25.7,5.20449,,2.77385
BIDU,Baidu Inc,Information Technology,3.9,41.2,31.4,5.05626,,7.18745
BIG,Big Lots Inc,Consumer Discretionary,95.2,88.4,15.1,4.26424,1.69205,0.49628
BIIB,Biogen Inc,Health Care,23.2,32.3,19.6,5.28579,,5.79565
BIP,Brookfield Infrastructure Partners LP,Utilities,18.3,21.5,56.5,2.39202,4.06162,3.50066
BJRI,BJ's Restaurants Inc,Consumer Discretionary,67.1,80.3,23.4,3.02502,1.23077,0.74344
BK,Bank of New York Mellon Corp (The),Financials,88.4,41.5,16,1.51578,1.75375,3.45673
BKE,Buckle Inc. (The),Consumer Discretionary,93.2,99,12.6,2.43705,4.49438,1.19009
BKH,Black Hills Corp,Utilities,36.5,5.4,22.2,1.85957,3.24731,1.83111
BKS,Barnes & Noble Inc,Consumer Discretionary,75.1,9.2,32.4,0.9711,8.69565,0.13243
BKU,BankUnited Inc,Financials,63.9,62.9,15.6,1.51591,2.25625,3.01598
BLDR,Builders FirstSource Inc,Industrials,63.6,89.6,26,5.59166,,0.33697
BLK,Blackrock Inc,Financials,41.7,81.8,23.4,2.69594,1.99525,6.83493
BLL,Ball Corp,Materials,20.2,27.2,53.3,3.95652,1.00226,1.30007
BLMN,Bloomin' Brands Inc,Consumer Discretionary,60.6,90.5,27.1,76.29575,1.49045,0.50892
BMCH,BMC Stock Holdings Inc,Industrials,49.4,69.5,30.6,2.12441,,0.47186
BMO,Bank of Montreal,Financials,79.8,50.2,9.6,1.61413,3.62775,2.4647
BMS,Bemis Co Inc,Materials,67.1,58.3,22.1,3.33908,2.55754,1.06951
BMY,Bristol-Myers Squibb Co,Health Care,20.7,40.2,24.8,6.99608,2.46875,5.06569
BNS,Bank of Nova Scotia (The),Financials,57.6,32.3,9.9,1.76378,3.88344,2.74573
BOFI,BofI Holding Inc,Financials,71.6,39.2,13,2.042,,3.73302
BOJA,Bojangles' Inc,Consumer Discretionary,76.7,29.5,15.6,2.09885,,0.91793
BOOT,Boot Barn Holdings Inc,Consumer Discretionary,67.9,99.9,26.1,2.15463,,0.61069
BPI,Bridgepoint Education Inc,Consumer Discretionary,49.8,37,53.2,1.77587,,0.6181
BPL,Buckeye Partners LP,Energy,81.1,3.3,14.3,1.45453,10.99499,1.80069
BPOP,Popular Inc,Financials,93.5,8.7,18,0.6891,2.82805,1.78921
BR,Broadridge Financial Solutions Inc,Information Technology,25.3,73.7,31.4,10.14001,1.61755,2.53336
BRK/B,Berkshire Hathaway Inc,Financials,62.3,47.6,25.5,1.54461,,1.97092
BRKL,Brookline Bancorp Inc,Financials,59.1,64.2,20.5,1.5399,2.23602,4.1375
BRKR,Bruker Corp,Health Care,11.7,84.1,36.9,7.50774,0.4548,3.27329
BRKS,Brooks Automation Inc,Information Technology,26.5,18.8,26.1,2.86046,1.60707,2.50335
BRO,Brown & Brown Inc,Financials,43.7,69.7,27,2.87895,1.17073,3.94006
BRX,Brixmor Property Group Inc,Real Estate,69.6,20.9,17.1,1.88619,6.08744,4.27601
BSAC,Banco Santander-Chile,Financials,34.7,16.2,15.4,2.7439,3.80196,3.27982
BSBR,Banco Santander Brasil SA,Financials,97.3,25.6,13.3,1.15395,6.09037,1.41916
BSMX,Grupo Financiero Santander Mexico SAB de CV,Financials,63.2,2.8,11.4,1.67485,8.02046,1.80398
BSX,Boston Scientific Corp,Health Care,2.6,18.6,42.6,4.75428,,4.07278
BT,BT Group PLC,Telecommunication Services,82.9,14.1,17.7,3.33265,5.6672,1.14837
BTG,B2Gold Corp,Materials,9.9,13.2,87,1.64406,,3.82993
BTI,British American Tobacco PLC,Consumer Staples,14.5,34,23.6,14.55248,3.58716,
BTX,BioTime Inc,Health Care,26.2,12.4,6.3,1.56519,,83.29189
BUFF,Blue Buffalo Pet Products Inc,Consumer Staples,6.4,81.4,35.1,24.64981,,4.8935
BWA,BorgWarner Inc,Consumer Discretionary,42.7,82.2,39.7,3.06858,1.22126,1.24385
BWLD,Buffalo Wild Wings Inc,Consumer Discretionary,49.6,98.4,40.5,9.18373,,1.24342
BWP,Boardwalk Pipeline Partners LP,Energy,66.9,9.1,11.4,0.72063,2.97619,2.51479
BWXT,BWX Technologies Inc,Industrials,11.9,69.9,31.4,20.15214,0.70456,3.73009
BX,Blackstone Group LP (The),Financials,46.7,21.3,13.5,3.16736,7.314,3.03424
BXMT,Blackstone Mortgage Trust Inc,Financials,92,39.7,14.3,1.23145,7.57946,6.09019
BXP,Boston Properties Inc,Real Estate,38.7,38.2,39.2,3.43967,2.39273,7.4301
BXS,BancorpSouth Inc.,Financials,60.9,70.8,20,1.76623,1.68421,3.90491
BYD,Boyd Gaming Corp,Consumer Discretionary,41.2,83.7,38.1,3.47206,0.62716,1.53374
BZH,Beazer Homes USA Inc.,Consumer Discretionary,87.3,97.3,21.2,1.03921,,0.37034
BZUN,Baozun Inc,Information Technology,3.1,39.3,83.5,6.21735,,2.78287
C,Citigroup Inc,Financials,90.2,60.6,14.5,0.95797,1.69536,2.39478
CA,CA Inc,Information Technology,70,26.8,19,2.30524,3.08437,3.35864
CAA,CalAtlantic Group Inc,Consumer Discretionary,78.4,99.4,16.6,1.42672,0.28551,0.96615
CAE,CAE Inc.,Industrials,52.2,49.2,18.3,2.8941,1.58185,2.25989
CAG,Conagra Brands Inc,Consumer Staples,52,72.5,27.1,4.01951,2.27699,2.03375
CAH,Cardinal Health Inc,Health Care,84,8.1,17.1,2.79198,3.12485,0.14313
CAKE,Cheesecake Factory Inc. (The),Consumer Discretionary,91.8,79.8,17.7,3.87774,2.36542,1.01337
CAL,Caleres Inc,Consumer Discretionary,89.6,84.2,22.7,2.08182,0.85784,0.51516
CAR,Avis Budget Group Inc,Industrials,59.1,43.2,30.5,7.79102,,0.36752
CASY,Casey's General Stores Inc.,Consumer Staples,44.8,71,28.4,3.92286,0.86128,0.61343
CAT,Caterpillar Inc,Industrials,31.9,82.5,98,5.37371,2.21041,1.97748
CATY,Cathay General Bancorp,Financials,74,87.6,17.5,1.7812,2.21249,5.99156
CB,Chubb Ltd,Financials,82.6,51.2,18.1,1.39889,1.86707,2.17618
CBG,CBRE Group Inc,Real Estate,59.7,82.6,18.5,3.87803,,1.0704
CBL,CBL & Associates Properties Inc.,Real Estate,98.5,1.2,8.7,0.84065,14.20959,0.98461
CBM,Cambrex Corp,Health Care,28.3,15.8,15.7,3.21558,,3.00425
CBOE,Cboe Global Markets Inc,Financials,7,86.7,65.9,4.86609,0.87499,7.25922
CBPO,China Biologic Products Holdings Inc,Health Care,11.2,6.8,20.8,3.83067,,6.37687
CBPX,Continental Building Products Inc,Industrials,60.1,71.2,22.7,3.52361,,2.28005
CBRL,Cracker Barrel Old Country Store Inc,Consumer Discretionary,65.8,43.1,18.5,6.84887,3.07043,1.2838
CBS,CBS Corp,Consumer Discretionary,38,7.7,15.2,7.48965,1.28434,1.71061
CBSH,Commerce Bancshares Inc,Financials,47.8,52.3,20.9,2.36815,1.58954,4.87663
CBT,Cabot Corp,Materials,85.4,75.3,15.9,2.56066,2.05748,1.40176
CC,Chemours Co (The),Materials,9.3,41.7,35,11.89216,0.23346,1.59657
CCC,Calgon Carbon Corp,Materials,25.5,99.8,195.7,2.67726,0.92593,1.84417
CCE,Coca-Cola European Partners Plc,Consumer Staples,44.6,11.1,22.4,2.36168,2.46217,1.54659
CCI,Crown Castle International Corp,Real Estate,7.8,39.1,94.5,3.62279,3.71681,10.1721
CCK,Crown Holdings Inc,Materials,50.3,30.7,17,10.05043,,0.96664
CCL,Carnival Corp,Consumer Discretionary,63,17.1,17.9,1.9579,2.74223,2.76619
CDNS,Cadence Design Systems Inc,Information Technology,5.2,62.4,47.4,12.26668,,6.43759
CDW,CDW Corp,Information Technology,41,59.3,25.6,13.27282,1.19983,0.73899
CE,Celanese Corp,Materials,42,59.5,18.3,5.3575,1.71578,2.53319
CELG,Celgene Corp,Health Care,5.4,1.7,24,8.05719,,6.30929
CERC,Cerecor Inc,Health Care,98.4,100,3.6,2.09656,,1.04517
CERN,Cerner Corp,Health Care,9.4,39.5,34.9,5.14705,,4.59978
CFFN,Capitol Federal Financial Inc,Financials,30.4,41.7,22.3,1.38069,2.41821,5.62577
CFG,Citizens Financial Group Inc,Financials,86,87.3,16.4,1.02356,1.76904,3.29551
CFR,Cullen/Frost Bankers Inc,Financials,80.9,76.6,18.5,2.04005,2.31684,5.25347
CFX,Colfax Corp,Industrials,38.3,15.3,29.4,1.39025,,1.36383
CGI,Celadon Group Inc,Industrials,80.2,98.8,82.8,0.58989,1.03896,0.20599
CGNX,Cognex Corp,Information Technology,4.5,91.3,50.8,10.58502,0.2598,17.18657
CHD,Church & Dwight Co. Inc.,Consumer Staples,15,16,26.8,6.02073,1.61393,3.25072
CHFC,Chemical Financial Corp,Financials,65.2,88.6,21.4,1.50098,1.98617,5.22701
CHKP,Check Point Software Technologies Ltd,Information Technology,10.6,14.8,22.2,4.81969,,9.43115
CHRW,C.H. Robinson Worldwide Inc.,Industrials,47.7,87,25.8,8.94534,2.07732,0.85136
CHS,Chico's FAS Inc.,Consumer Discretionary,99.4,72,13.2,1.77404,3.7415,0.49411
CHSP,Chesapeake Lodging Trust,Real Estate,89.2,65.6,35.5,1.66712,5.54785,2.88041
CHTR,Charter Communications Inc,Consumer Discretionary,13.9,4.1,114.5,2.44061,,2.0617
CI,Cigna Corp,Health Care,58.3,75.4,22.7,3.70581,0.01889,1.30756
CIB,"Bancolombia Sa Bancolombia, Colombia",Financials,90.9,6.2,4.9,0.5795,3.2557,0.63919
CIEN,Ciena Corp,Information Technology,38.9,29.1,23,3.28614,,1.10865
CIG,Companhia Energetica de Minas Gerais CEMIG,Utilities,98.3,2.7,9.5,0.42281,10.38118,0.28857
CIM,Chimera Investment Corp,Financials,82.9,19.9,5.6,0.94245,10.92896,2.734
CINF,Cincinnati Financial Corp,Financials,62.5,22,24.7,1.6291,2.6763,2.17864
CLB,Core Laboratories NV,Energy,6.1,70.1,60.7,29.77693,2.18362,6.97752
CLD,Cloud Peak Energy Inc,Energy,92.7,94.1,84.2,0.31393,,0.33032
CLDT,Chatham Lodging Trust,Real Estate,91.2,63.1,33.4,1.30544,5.81754,2.97424
CLGX,CoreLogic Inc,Information Technology,27,14.5,41.1,3.57042,,1.9551
CLH,Clean Harbors Inc,Industrials,28.1,26.5,764,2.71733,,1.06505
CLI,Mack-Cali Realty Corp,Real Estate,68.7,21.1,96.7,1.33681,3.615,3.19177
CLS,Celestica Inc,Information Technology,84.7,16.8,13.9,1.14748,,0.25055
CLX,Clorox Co (The),Consumer Staples,19.6,28.8,25.5,30.33416,2.41223,2.97346
CM,Canadian Imperial Bank of Commerce,Financials,61.2,55.8,8.6,1.78437,4.40494,2.49996
CMA,Comerica Inc,Financials,64.6,86.1,18.9,1.80775,1.4404,4.60859
CMC,Commercial Metals Co,Materials,44.1,42.7,72.8,1.64008,2.41935,0.50245
CMCM,Cheetah Mobile Inc,Information Technology,18.3,97,31.7,3.68967,,2.57631
